Date,Stock,Open,High,Low,Close
2020-07-03,MSFT,204.41,207.185,203.385,205.48
2020-07-04,MSFT,204.41,207.185,203.385,205.48
2020-07-05,MSFT,209.64,212.89999999999998,208.04000000000002,209.475
2020-07-06,MSFT,208.83,211.13,208.09,210.7
2020-07-07,MSFT,210.45,214.67,207.99,208.25
2020-07-08,MSFT,209.64,212.89999999999998,208.04000000000002,209.475
2020-07-09,MSFT,216.33,216.38,211.47,214.32
2020-07-10,MSFT,213.62,214.08,211.08,213.67
2020-07-11,MSFT,214.97500000000002,215.23000000000002,211.275,213.995
2020-07-12,MSFT,210.305,212.325,204.265,207.70999999999998
2020-07-13,MSFT,214.48,215.8,206.5,207.07
2020-07-14,MSFT,206.13,208.85,202.03,208.35
2020-07-15,MSFT,209.56,211.33,205.03,208.04
2020-07-16,MSFT,205.4,205.7,202.31,203.92
2020-07-17,MSFT,204.47,205.04,201.39,202.88
2020-07-18,MSFT,204.935,205.37,201.85,203.39999999999998
2020-07-19,MSFT,209.32999999999998,213.12,205.51999999999998,210.175
2020-07-20,MSFT,205.0,212.3,203.01,211.6
2020-07-21,MSFT,213.66,213.94,208.03,208.75
2020-07-22,MSFT,209.2,212.3,208.39,211.75
2020-07-23,MSFT,207.19,210.92,202.15,202.54
2020-07-24,MSFT,200.42,202.86,197.51,201.3
2020-07-25,MSFT,203.805,206.89,199.82999999999998,201.92000000000002
2020-07-26,MSFT,202.54000000000002,204.33499999999998,201.3,202.935
2020-07-27,MSFT,201.47,203.97,200.86,203.85
2020-07-28,MSFT,203.61,204.7,201.74,202.02
2020-07-29,MSFT,202.5,204.65,202.01,204.06
2020-07-30,MSFT,203.055,204.675,201.875,203.04000000000002
2020-07-31,MSFT,204.4,205.1,199.01,205.01
2020-08-01,MSFT,204.4,205.1,199.01,205.01
2020-08-02,MSFT,212.845,216.20499999999998,210.375,214.915
2020-08-03,MSFT,211.52,217.64,210.44,216.54
2020-08-04,MSFT,214.17,214.77,210.31,213.29
2020-08-05,MSFT,214.9,215.0,211.57,212.94
2020-08-06,MSFT,212.34,216.37,211.55,216.35
2020-08-07,MSFT,214.85,215.7,210.93,212.48
2020-08-08,MSFT,213.595,216.035,211.24,214.415
2020-08-09,MSFT,209.415,209.765,204.745,205.815
2020-08-10,MSFT,211.67,211.88,206.35,208.25
